batter,match_innings,aggregate_scores,aggregate_average,aggregate_innings
Kamindu Mendis,1,61.0,61.0,1
Kamindu Mendis,2,61.0,61.0,1
Kamindu Mendis,3,163.0,81.5,2
Kamindu Mendis,4,327.0,109.0,3
Kamindu Mendis,5,419.0,139.66666666666666,3
Kamindu Mendis,6,428.0,107.0,4
Kamindu Mendis,7,440.0,88.0,5
Kamindu Mendis,8,553.0,92.16666666666667,6
Kamindu Mendis,9,627.0,89.57142857142857,7
Kamindu Mendis,10,631.0,78.875,8
Kamindu Mendis,11,695.0,77.22222222222223,9
Kamindu Mendis,12,695.0,77.22222222222223,9
Kamindu Mendis,13,809.0,80.9,10
Kamindu Mendis,14,822.0,74.72727272727273,11
Kamindu Mendis,15,1004.0,91.27272727272727,11
Kamindu Mendis,16,1004.0,91.27272727272727,11
Virat Kohli,1,4.0,4.0,1
Virat Kohli,2,19.0,9.5,2
Virat Kohli,3,19.0,6.333333333333333,3
Virat Kohli,4,46.0,11.5,4
Virat Kohli,5,76.0,15.2,5
Virat Kohli,6,76.0,15.2,5
Virat Kohli,7,128.0,21.333333333333332,6
Virat Kohli,8,191.0,27.285714285714285,7
Virat Kohli,9,202.0,25.25,8
Virat Kohli,10,202.0,22.444444444444443,9
Virat Kohli,11,225.0,22.5,10
Virat Kohli,12,234.0,21.272727272727273,11
Virat Kohli,13,278.0,23.166666666666668,12
Virat Kohli,14,353.0,27.153846153846153,13
Virat Kohli,15,469.0,33.5,14
Virat Kohli,16,491.0,32.733333333333334,15
Joe Root,1,73.0,73.0,1
Joe Root,2,93.0,93.0,1
Joe Root,3,97.0,48.5,2
Joe Root,4,97.0,32.333333333333336,3
Joe Root,5,107.0,26.75,4
Joe Root,6,107.0,26.75,4
Joe Root,7,152.0,30.4,5
Joe Root,8,181.0,30.166666666666668,6
Joe Root,9,221.0,31.571428571428573,7
Joe Root,10,292.0,36.5,8
Joe Root,11,396.0,44.0,9
Joe Root,12,424.0,42.4,10
Joe Root,13,454.0,41.27272727272727,11
Joe Root,14,459.0,38.25,12
Joe Root,15,465.0,35.76923076923077,13
Joe Root,16,645.0,46.07142857142857,14
Steve Smith,1,1.0,1.0,1
Steve Smith,2,13.0,6.5,2
Steve Smith,3,23.0,7.666666666666667,3
Steve Smith,4,100.0,25.0,4
Steve Smith,5,107.0,21.4,5
Steve Smith,6,143.0,23.833333333333332,6
Steve Smith,7,149.0,21.285714285714285,7
Steve Smith,8,187.0,23.375,8
Steve Smith,9,205.0,22.77777777777778,9
Steve Smith,10,259.0,28.77777777777778,9
Steve Smith,11,351.0,35.1,10
Steve Smith,12,356.0,32.36363636363637,11
Steve Smith,13,402.0,33.5,12
Steve Smith,14,420.0,32.30769230769231,13
Steve Smith,15,473.0,33.785714285714285,14
Steve Smith,16,490.0,32.666666666666664,15
Kane Williamson,1,131.0,131.0,1
Kane Williamson,2,131.0,131.0,1
Kane Williamson,3,135.0,67.5,2
Kane Williamson,4,204.0,68.0,3
Kane Williamson,5,204.0,51.0,4
Kane Williamson,6,212.0,42.4,5
Kane Williamson,7,262.0,43.666666666666664,6
Kane Williamson,8,263.0,37.57142857142857,7
Kane Williamson,9,284.0,35.5,8
Kane Williamson,10,299.0,33.22222222222222,9
Kane Williamson,11,348.0,34.8,10
Kane Williamson,12,416.0,37.81818181818182,11
Kane Williamson,13,435.0,36.25,12
Kane Williamson,14,435.0,33.46153846153846,13
Kane Williamson,15,454.0,32.42857142857143,14
Kane Williamson,16,488.0,32.53333333333333,15
Donald Bradman,1,18.0,18.0,1
Donald Bradman,2,19.0,9.5,2
Donald Bradman,3,98.0,32.666666666666664,3
Donald Bradman,4,210.0,52.5,4
Donald Bradman,5,250.0,50.0,5
Donald Bradman,6,308.0,51.333333333333336,6
Donald Bradman,7,431.0,61.57142857142857,7
Donald Bradman,8,468.0,66.85714285714286,7
Donald Bradman,9,476.0,59.5,8
Donald Bradman,10,607.0,67.44444444444444,9
Donald Bradman,11,861.0,86.1,10
Donald Bradman,12,862.0,78.36363636363636,11
Donald Bradman,13,1196.0,99.66666666666667,12
Donald Bradman,14,1196.0,99.66666666666667,12
Donald Bradman,15,1210.0,93.07692307692308,13
Donald Bradman,16,1210.0,93.07692307692308,13
