level_0,index,batter,match_innings,aggregate_scores,aggregate_average,aggregate_innings
0,0.0,Kamindu Mendis,1,61.0,61.0,1
1,1.0,Kamindu Mendis,2,61.0,61.0,1
2,2.0,Kamindu Mendis,3,163.0,81.5,2
3,3.0,Kamindu Mendis,4,327.0,109.0,3
4,4.0,Kamindu Mendis,5,419.0,139.66666666666666,3
5,5.0,Kamindu Mendis,6,428.0,107.0,4
6,6.0,Kamindu Mendis,7,440.0,88.0,5
7,7.0,Kamindu Mendis,8,553.0,92.16666666666667,6
8,8.0,Kamindu Mendis,9,627.0,89.57142857142857,7
9,9.0,Kamindu Mendis,10,631.0,78.875,8
10,10.0,Kamindu Mendis,11,695.0,77.22222222222223,9
11,11.0,Kamindu Mendis,12,695.0,77.22222222222223,9
12,12.0,Kamindu Mendis,13,809.0,80.9,10
13,13.0,Kamindu Mendis,14,822.0,74.72727272727273,11
14,14.0,Kamindu Mendis,15,1004.0,91.27272727272727,11
15,15.0,Kamindu Mendis,16,1004.0,91.27272727272727,11
16,0.0,Virat Kohli,1,4.0,4.0,1
17,1.0,Virat Kohli,2,19.0,9.5,2
18,2.0,Virat Kohli,3,19.0,6.333333333333333,3
19,3.0,Virat Kohli,4,46.0,11.5,4
20,4.0,Virat Kohli,5,76.0,15.2,5
21,5.0,Virat Kohli,6,76.0,15.2,5
22,6.0,Virat Kohli,7,128.0,21.333333333333332,6
23,7.0,Virat Kohli,8,191.0,27.285714285714285,7
24,8.0,Virat Kohli,9,202.0,25.25,8
25,9.0,Virat Kohli,10,202.0,22.444444444444443,9
26,10.0,Virat Kohli,11,225.0,22.5,10
27,11.0,Virat Kohli,12,234.0,21.272727272727273,11
28,12.0,Virat Kohli,13,278.0,23.166666666666668,12
29,13.0,Virat Kohli,14,353.0,27.153846153846153,13
30,14.0,Virat Kohli,15,469.0,33.5,14
31,15.0,Virat Kohli,16,491.0,32.733333333333334,15
0,,Joe Root,1,73.0,73.0,1
1,,Joe Root,2,93.0,93.0,1
2,,Joe Root,3,97.0,48.5,2
3,,Joe Root,4,97.0,32.333333333333336,3
4,,Joe Root,5,107.0,26.75,4
5,,Joe Root,6,107.0,26.75,4
6,,Joe Root,7,152.0,30.4,5
7,,Joe Root,8,181.0,30.166666666666668,6
8,,Joe Root,9,221.0,31.571428571428573,7
9,,Joe Root,10,292.0,36.5,8
10,,Joe Root,11,396.0,44.0,9
11,,Joe Root,12,424.0,42.4,10
12,,Joe Root,13,454.0,41.27272727272727,11
13,,Joe Root,14,459.0,38.25,12
14,,Joe Root,15,465.0,35.76923076923077,13
15,,Joe Root,16,645.0,46.07142857142857,14
